year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,hour_of_day
2024,7,8,1,2024-07-08,NK,1475.0,CLT,"Charlotte, NC",North Carolina,IAH,"Houston, TX",Texas,1150,,,,,,,1330,,,1,B,0,160.0,,,912.0,0,0,0,0,0,11
2024,1,16,2,2024-01-16,9E,5064.0,LGA,"New York, NY",New York,RIC,"Richmond, VA",Virginia,835,,,,,,,1011,,,1,B,0,96.0,,,292.0,0,0,0,0,0,8
2024,7,19,5,2024-07-19,UA,445.0,DFW,"Dallas/Fort Worth, TX",Texas,DEN,"Denver, CO",Colorado,1145,,,,,,,1254,,,1,A,0,129.0,,,641.0,0,0,0,0,0,11
2024,8,9,5,2024-08-09,YX,4745.0,LGA,"New York, NY",New York,PHL,"Philadelphia, PA",Pennsylvania,1830,,,,,,,1943,,,1,C,0,73.0,,,96.0,0,0,0,0,0,18
2024,10,9,3,2024-10-09,OH,5369.0,GNV,"Gainesville, FL",Florida,CLT,"Charlotte, NC",North Carolina,2008,,,,,,,2144,,,1,B,0,96.0,,,388.0,0,0,0,0,0,20
2024,5,28,2,2024-05-28,WN,2533.0,STL,"St. Louis, MO",Missouri,DAL,"Dallas, TX",Texas,1745,,,,,,,1930,,,1,B,0,105.0,,,546.0,0,0,0,0,0,17
2024,9,26,4,2024-09-26,OH,5198.0,CLT,"Charlotte, NC",North Carolina,TLH,"Tallahassee, FL",Florida,1121,,,,,,,1316,,,1,B,0,115.0,,,386.0,0,0,0,0,0,11
2024,8,10,6,2024-08-10,F9,3254.0,PDX,"Portland, OR",Oregon,DFW,"Dallas/Fort Worth, TX",Texas,1724,,,,,,,2307,,,1,A,0,223.0,,,1616.0,0,0,0,0,0,17
2024,5,29,3,2024-05-29,AA,2679.0,SRQ,"Sarasota/Bradenton, FL",Florida,DFW,"Dallas/Fort Worth, TX",Texas,1658,,,,,,,1846,,,1,B,0,168.0,,,945.0,0,0,0,0,0,16
2024,1,19,5,2024-01-19,AS,1091.0,ONT,"Ontario, CA",California,SEA,"Seattle, WA",Washington,600,,,,,,,854,,,1,A,0,174.0,,,956.0,0,0,0,0,0,6
2024,7,19,5,2024-07-19,DL,2566.0,EWR,"Newark, NJ",New Jersey,DTW,"Detroit, MI",Michigan,938,,,,,,,1130,,,1,A,0,112.0,,,488.0,0,0,0,0,0,9
2024,7,18,4,2024-07-18,NK,340.0,DTW,"Detroit, MI",Michigan,MSP,"Minneapolis, MN",Minnesota,1351,,,,,,,1436,,,1,B,0,105.0,,,528.0,0,0,0,0,0,13
2024,6,30,7,2024-06-30,F9,3055.0,ISP,"Islip, NY",New York,MCO,"Orlando, FL",Florida,2223,,,,,,,121,,,1,A,0,178.0,,,971.0,0,0,0,0,0,22
2024,6,1,6,2024-06-01,AA,802.0,RDU,"Raleigh/Durham, NC",North Carolina,DFW,"Dallas/Fort Worth, TX",Texas,657,,,,,,,903,,,1,B,0,186.0,,,1061.0,0,0,0,0,0,6
2024,10,9,3,2024-10-09,WN,2475.0,MHT,"Manchester, NH",New Hampshire,MCO,"Orlando, FL",Florida,1455,,,,,,,1810,,,1,B,0,195.0,,,1142.0,0,0,0,0,0,14
2024,7,22,1,2024-07-22,DL,2717.0,SAT,"San Antonio, TX",Texas,MSP,"Minneapolis, MN",Minnesota,633,,,,,,,930,,,1,A,0,177.0,,,1097.0,0,0,0,0,0,6
2024,1,7,7,2024-01-07,UA,2465.0,EWR,"Newark, NJ",New Jersey,MIA,"Miami, FL",Florida,715,,,,,,,1023,,,1,A,0,188.0,,,1085.0,0,0,0,0,0,7
2024,7,20,6,2024-07-20,9E,5220.0,MSP,"Minneapolis, MN",Minnesota,OMA,"Omaha, NE",Nebraska,1515,,,,,,,1634,,,1,A,0,79.0,,,282.0,0,0,0,0,0,15
2024,5,16,4,2024-05-16,AA,522.0,DFW,"Dallas/Fort Worth, TX",Texas,CLT,"Charlotte, NC",North Carolina,1837,,,,,,,2210,,,1,B,0,153.0,,,936.0,0,0,0,0,0,18
